Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
securitycraft:laserBlock, Laser Block 
securitycraft:laser, Laser 
securitycraft:keypad, Keypad
securitycraft:mine, Mine
securitycraft:mineCut, tile.mineCut.name
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
securitycraft:dirtMine, Dirt Mine
securitycraft:stoneMine, Stone Mine
securitycraft:cobblestoneMine, Cobblestone Mine
securitycraft:diamondMine, Diamond Ore Mine
securitycraft:sandMine, Sand Mine
securitycraft:furnaceMine, Furnace Mine
securitycraft:retinalScanner, Retinal Scanner
securitycraft:ironDoorReinforced, Reinforced Door
securitycraft:bogusLava, Fake Lava
securitycraft:bogusLavaFlowing, tile.bogusLavaFlowing.name
securitycraft:bogusWater, Fake Water
securitycraft:bogusWaterFlowing, tile.bogusWaterFlowing.name
securitycraft:keycardReader, Keycard Reader
securitycraft:ironTrapdoor, Iron Trapdoor
securitycraft:bouncingBetty, Bouncing Betty
securitycraft:inventoryScanner, Inventory Scanner
securitycraft:inventoryScannerField, Inventory Scanner Field
securitycraft:trackMine, Track Mine
securitycraft:cageTrap, Cage Trap
securitycraft:portableRadar, Portable Radar
securitycraft:deactivatedCageTrap, Deactivated Cage Trap
securitycraft:reinforcedIronBars, Reinforced Iron Bars
securitycraft:keypadChest, Password-protected Chest
securitycraft:usernameLogger, Username Logger
securitycraft:reinforcedGlass, Reinforced Glass Pane
securitycraft:alarm, Alarm
securitycraft:alarmLit, tile.alarmLit.name
securitycraft:reinforcedStone, Reinforced Stone
securitycraft:reinforcedSandstone:0, Reinforced Sandstone
securitycraft:reinforcedSandstone:1, Reinforced Chiseled Sandstone
securitycraft:reinforcedSandstone:2, Reinforced Smooth Sandstone
securitycraft:reinforcedDirt, Reinforced Dirt
securitycraft:reinforcedCobblestone, Reinforced Cobblestone
securitycraft:reinforcedFenceGate, Electrified Iron Fence Gate
securitycraft:reinforcedPlanks:0, Reinforced Oak Planks
securitycraft:reinforcedPlanks:1, Reinforced Spruce Planks
securitycraft:reinforcedPlanks:2, Reinforced Birch Planks
securitycraft:reinforcedPlanks:3, Reinforced Jungle Planks
securitycraft:reinforcedPlanks:4, Reinforced Acacia Planks
securitycraft:reinforcedPlanks:5, Reinforced Dark Oak Planks
securitycraft:panicButton, Panic Button
securitycraft:keypadFrame, Frame
securitycraft:claymoreActive, Claymore
securitycraft:claymoreDefused, Claymore
securitycraft:keypadFurnace, Password-protected Furnace
securitycraft:securityCamera, Security Camera
securitycraft:reinforcedStairsOak, Reinforced Oak Stairs
securitycraft:reinforcedStairsSpruce, Reinforced Spruce Stairs
securitycraft:reinforcedStairsBirch, Reinforced Birch Stairs
securitycraft:reinforcedStairsJungle, Reinforced Jungle Stairs
securitycraft:reinforcedStairsAcacia, Reinforced Acacia Stairs
securitycraft:reinforcedStairsDarkoak, Reinforced Dark Oak Stairs
securitycraft:reinforcedStairsStone, Reinforced Stone Stairs
securitycraft:reinforcedStairsCobblestone, Reinforced Cobblestone Stairs
securitycraft:reinforcedStairsSandstone, Reinforced Sandstone Stairs
securitycraft:scIronFence, Electrified Iron Fence
securitycraft:ims, Intelligent Munitions System 
securitycraft:reinforcedGlassBlock, Reinforced Glass
securitycraft:reinforcedStainedGlass:0, Reinforced White Stained Glass
securitycraft:reinforcedStainedGlass:1, Reinforced Orange Stained Glass
securitycraft:reinforcedStainedGlass:2, Reinforced Magenta Stained Glass
securitycraft:reinforcedStainedGlass:3, Reinforced Light Blue Stained Glass
securitycraft:reinforcedStainedGlass:4, Reinforced Yellow Stained Glass
securitycraft:reinforcedStainedGlass:5, Reinforced Lime Stained Glass
securitycraft:reinforcedStainedGlass:6, Reinforced Pink Stained Glass
securitycraft:reinforcedStainedGlass:7, Reinforced Gray Stained Glass
securitycraft:reinforcedStainedGlass:8, Reinforced Light Gray Stained Glass
securitycraft:reinforcedStainedGlass:9, Reinforced Cyan Stained Glass
securitycraft:reinforcedStainedGlass:10, Reinforced Purple Stained Glass
securitycraft:reinforcedStainedGlass:11, Reinforced Blue Stained Glass
securitycraft:reinforcedStainedGlass:12, Reinforced Brown Stained Glass
securitycraft:reinforcedStainedGlass:13, Reinforced Green Stained Glass
securitycraft:reinforcedStainedGlass:14, Reinforced Red Stained Glass
securitycraft:reinforcedStainedGlass:15, Reinforced Black Stained Glass
securitycraft:reinforcedStainedGlassPanes:0, Reinforced White Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:1, Reinforced Orange Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:2, Reinforced Magenta Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:3, Reinforced Light Blue Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:4, Reinforced Yellow Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:5, Reinforced Lime Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:6, Reinforced Pink Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:7, Reinforced Gray Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:8, Reinforced Light Gray Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:9, Reinforced Cyan Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:10, Reinforced Purple Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:11, Reinforced Blue Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:12, Reinforced Brown Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:13, Reinforced Green Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:14, Reinforced Red Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:15, Reinforced Black Stained Glass Pane
securitycraft:reinforcedWoodSlabs:0, Reinforced Oak Wood Slab
securitycraft:reinforcedWoodSlabs:1, Reinforced Spruce Wood Slab
securitycraft:reinforcedWoodSlabs:2, Reinforced Birch Wood Slab
securitycraft:reinforcedWoodSlabs:3, Reinforced Jungle Wood Slab
securitycraft:reinforcedWoodSlabs:4, Reinforced Acacia Wood Slab
securitycraft:reinforcedWoodSlabs:5, Reinforced Dark Oak Wood Slab
securitycraft:reinforcedStoneSlabs:0, Reinforced Stone Slab
securitycraft:reinforcedStoneSlabs:1, Reinforced Cobblestone Slab
securitycraft:reinforcedStoneSlabs:2, Reinforced Sandstone Slab
securitycraft:reinforcedDirtSlab:3, Reinforced Dirt Slab
securitycraft:reinforcedDoubleWoodSlabs, tile.reinforcedDoubleWoodSlabs.name
securitycraft:reinforcedDoubleStoneSlabs, tile.reinforcedDoubleStoneSlabs.name
securitycraft:reinforcedDoubleDirtSlab, tile.reinforcedDoubleDirtSlab.name
securitycraft:protecto, Protecto
appliedenergistics2:tile.OreQuartz, Certus Quartz Ore
appliedenergistics2:tile.OreQuartzCharged, Charged Certus Quartz Ore
appliedenergistics2:tile.BlockMatrixFrame, Matrix Frame
appliedenergistics2:tile.BlockQuartz, Certus Quartz Block
appliedenergistics2:tile.BlockQuartzPillar, Certus Quartz Pillar
appliedenergistics2:tile.BlockQuartzChiseled, Chiseled Certus Quartz Block
appliedenergistics2:tile.BlockQuartzGlass, Quartz Glass
appliedenergistics2:tile.BlockQuartzLamp, Vibrant Quartz Glass
appliedenergistics2:tile.BlockQuartzTorch, Charged Quartz Fixture
appliedenergistics2:tile.BlockFluix, Fluix Block
appliedenergistics2:tile.BlockSkyStone:0, Sky Stone
appliedenergistics2:tile.BlockSkyStone:1, Sky Stone Block
appliedenergistics2:tile.BlockSkyStone:2, Sky Stone Brick
appliedenergistics2:tile.BlockSkyStone:3, Sky Stone Small Brick
appliedenergistics2:tile.BlockSkyChest:0, Sky Stone Chest
appliedenergistics2:tile.BlockSkyChest:1, Sky Stone Block Chest
appliedenergistics2:tile.BlockSkyCompass, Meteorite Compass
appliedenergistics2:tile.BlockGrinder, Quartz Grindstone
appliedenergistics2:tile.BlockCrank, Wooden Crank
appliedenergistics2:tile.BlockInscriber, Inscriber
appliedenergistics2:tile.BlockWireless, ME Wireless Access Point
appliedenergistics2:tile.BlockCharger, Charger
appliedenergistics2:tile.BlockTinyTNT, Tiny TNT
appliedenergistics2:tile.BlockSecurity, ME Security Terminal
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Wooden Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk Bucket
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Chest Cart
minecraft:furnace_minecart, Furnace Cart
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fished:0, Cooked Fish
minecraft:cooked_fished:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion:0, Water Bottle
minecraft:potion:8193, Potion of Regeneration
minecraft:potion:8225, Potion of Regeneration
minecraft:potion:8257, Potion of Regeneration
minecraft:potion:16385, Splash Potion of Regeneration
minecraft:potion:16417, Splash Potion of Regeneration
minecraft:potion:16449, Splash Potion of Regeneration
minecraft:potion:8194, Potion of Swiftness
minecraft:potion:8226, Potion of Swiftness
minecraft:potion:8258, Potion of Swiftness
minecraft:potion:16386, Splash Potion of Swiftness
minecraft:potion:16418, Splash Potion of Swiftness
minecraft:potion:16450, Splash Potion of Swiftness
minecraft:potion:8227, Potion of Fire Resistance
minecraft:potion:8259, Potion of Fire Resistance
minecraft:potion:16419, Splash Potion of Fire Resistance
minecraft:potion:16451, Splash Potion of Fire Resistance
minecraft:potion:8196, Potion of Poison
minecraft:potion:8228, Potion of Poison
minecraft:potion:8260, Potion of Poison
minecraft:potion:16388, Splash Potion of Poison
minecraft:potion:16420, Splash Potion of Poison
minecraft:potion:16452, Splash Potion of Poison
minecraft:potion:8261, Potion of Healing
minecraft:potion:8229, Potion of Healing
minecraft:potion:16453, Splash Potion of Healing
minecraft:potion:16421, Splash Potion of Healing
minecraft:potion:8230, Potion of Night Vision
minecraft:potion:8262, Potion of Night Vision
minecraft:potion:16422, Splash Potion of Night Vision
minecraft:potion:16454, Splash Potion of Night Vision
minecraft:potion:8232, Potion of Weakness
minecraft:potion:8264, Potion of Weakness
minecraft:potion:16424, Splash Potion of Weakness
minecraft:potion:16456, Splash Potion of Weakness
minecraft:potion:8201, Potion of Strength
minecraft:potion:8233, Potion of Strength
minecraft:potion:8265, Potion of Strength
minecraft:potion:16393, Splash Potion of Strength
minecraft:potion:16425, Splash Potion of Strength
minecraft:potion:16457, Splash Potion of Strength
minecraft:potion:8234, Potion of Slowness
minecraft:potion:8266, Potion of Slowness
minecraft:potion:16426, Splash Potion of Slowness
minecraft:potion:16458, Splash Potion of Slowness
minecraft:potion:8268, Potion of Harming
minecraft:potion:8236, Potion of Harming
minecraft:potion:16460, Splash Potion of Harming
minecraft:potion:16428, Splash Potion of Harming
minecraft:potion:8237, Potion of Water Breathing
minecraft:potion:8269, Potion of Water Breathing
minecraft:potion:16429, Splash Potion of Water Breathing
minecraft:potion:16461, Splash Potion of Water Breathing
minecraft:potion:8238, Potion of Invisibility
minecraft:potion:8270, Potion of Invisibility
minecraft:potion:16430, Splash Potion of Invisibility
minecraft:potion:16462, Splash Potion of Invisibility
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg:50, Spawn Creeper
minecraft:spawn_egg:51, Spawn Skeleton
minecraft:spawn_egg:52, Spawn Spider
minecraft:spawn_egg:54, Spawn Zombie
minecraft:spawn_egg:55, Spawn Slime
minecraft:spawn_egg:56, Spawn Ghast
minecraft:spawn_egg:57, Spawn Zombie Pigman
minecraft:spawn_egg:58, Spawn Enderman
minecraft:spawn_egg:59, Spawn Cave Spider
minecraft:spawn_egg:60, Spawn Silverfish
minecraft:spawn_egg:61, Spawn Blaze
minecraft:spawn_egg:62, Spawn Magma Cube
minecraft:spawn_egg:65, Spawn Bat
minecraft:spawn_egg:66, Spawn Witch
minecraft:spawn_egg:90, Spawn Pig
minecraft:spawn_egg:91, Spawn Sheep
minecraft:spawn_egg:92, Spawn Cow
